metric,sn,scan_id,scan_processed_date,mean,median,min,max
Anode Overhang (All) (mm),LH1T-1,2280,2024-02-01 15:17:53,0.551,0.55784,0.28072,0.82066
Anode Overhang (Top) (mm),LH1T-1,2280,2024-02-01 15:17:53,0.607,0.59040,0.45920,0.82066
Anode Overhang (Bottom) (mm),LH1T-1,2280,2024-02-01 15:17:53,0.497,0.52888,0.28072,0.64149
Anode Overhang (All) (mm),LH1T-2,2281,2024-02-01 15:31:43,0.540,0.54219,0.34440,0.73873
Anode Overhang (Top) (mm),LH1T-2,2281,2024-02-01 15:31:43,0.563,0.55007,0.44401,0.73873
Anode Overhang (Bottom) (mm),LH1T-2,2281,2024-02-01 15:31:43,0.517,0.54145,0.34440,0.67559
Anode Overhang (All) (mm),LH1T-3,2282,2024-02-01 15:41:05,0.573,0.57494,0.42640,0.72235
Anode Overhang (Top) (mm),LH1T-3,2282,2024-02-01 15:41:05,0.542,0.55784,0.42640,0.70539
Anode Overhang (Bottom) (mm),LH1T-3,2282,2024-02-01 15:41:05,0.603,0.60702,0.44310,0.72235
Anode Overhang (All) (mm),LH1T-4,2283,2024-02-01 15:50:22,0.567,0.57423,0.47560,0.65784
Anode Overhang (Top) (mm),LH1T-4,2283,2024-02-01 15:50:22,0.556,0.54516,0.47560,0.65784
Anode Overhang (Bottom) (mm),LH1T-4,2283,2024-02-01 15:50:22,0.577,0.59063,0.47560,0.65682
Anode Overhang (All) (mm),LH1T-5,2284,2024-02-01 15:59:44,0.562,0.55784,0.39360,0.72235
Anode Overhang (Top) (mm),LH1T-5,2284,2024-02-01 15:59:44,0.526,0.54120,0.39360,0.70539
Anode Overhang (Bottom) (mm),LH1T-5,2284,2024-02-01 15:59:44,0.598,0.59040,0.44310,0.72235
Anode Overhang (All) (mm),LH1T-6,2285,2024-02-01 16:09:07,0.555,0.55760,0.47560,0.64483
Anode Overhang (Top) (mm),LH1T-6,2285,2024-02-01 16:09:07,0.542,0.54145,0.47588,0.64044
Anode Overhang (Bottom) (mm),LH1T-6,2285,2024-02-01 16:09:07,0.568,0.57423,0.47560,0.64483
Anode Overhang (All) (mm),LH1T-7,2286,2024-02-01 16:18:29,0.561,0.55784,0.40801,0.70995
Anode Overhang (Top) (mm),LH1T-7,2286,2024-02-01 16:18:29,0.544,0.54120,0.40801,0.70995
Anode Overhang (Bottom) (mm),LH1T-7,2286,2024-02-01 16:18:29,0.578,0.59040,0.42672,0.70596
Anode Overhang (All) (mm),LH1T-8,2287,2024-02-01 16:27:48,0.555,0.54219,0.42640,0.67738
Anode Overhang (Top) (mm),LH1T-8,2287,2024-02-01 16:27:48,0.517,0.52480,0.42640,0.67320
Anode Overhang (Bottom) (mm),LH1T-8,2287,2024-02-01 16:27:48,0.594,0.60735,0.47588,0.67738
Anode Overhang (All) (mm),LH1T-9,2288,2024-02-01 16:37:06,0.549,0.55784,0.44280,0.65682
Anode Overhang (Top) (mm),LH1T-9,2288,2024-02-01 16:37:06,0.515,0.50866,0.44280,0.62406
Anode Overhang (Bottom) (mm),LH1T-9,2288,2024-02-01 16:37:06,0.584,0.59063,0.44310,0.65682
Anode Overhang (All) (mm),LH1T-10,2289,2024-02-01 16:46:26,0.576,0.59040,0.27880,0.85343
Anode Overhang (Top) (mm),LH1T-10,2289,2024-02-01 16:46:26,0.675,0.64149,0.49200,0.85343
Anode Overhang (Bottom) (mm),LH1T-10,2289,2024-02-01 16:46:26,0.476,0.50522,0.27880,0.65784
Anode Overhang (All) (mm),LH1T-11,2290,2024-02-01 16:55:50,0.585,0.59040,0.47560,0.69192
Anode Overhang (Top) (mm),LH1T-11,2290,2024-02-01 16:55:50,0.607,0.62342,0.49200,0.69192
Anode Overhang (Bottom) (mm),LH1T-11,2290,2024-02-01 16:55:50,0.563,0.55784,0.47560,0.68900
Anode Overhang (All) (mm),LH1T-12,2291,2024-02-01 17:05:11,0.581,0.57423,0.41000,0.75511
Anode Overhang (Top) (mm),LH1T-12,2291,2024-02-01 17:05:11,0.612,0.60680,0.54120,0.75511
Anode Overhang (Bottom) (mm),LH1T-12,2291,2024-02-01 17:05:11,0.550,0.55784,0.41000,0.62342
Anode Overhang (All) (mm),LH1T-13,2292,2024-02-01 17:14:25,0.550,0.55760,0.36117,0.73873
Anode Overhang (Top) (mm),LH1T-13,2292,2024-02-01 17:14:25,0.479,0.47560,0.36117,0.64044
Anode Overhang (Bottom) (mm),LH1T-13,2292,2024-02-01 17:14:25,0.621,0.63960,0.45949,0.73873
Anode Overhang (All) (mm),LH1T-14,2293,2024-02-01 17:23:44,0.554,0.55784,0.43421,0.67320
Anode Overhang (Top) (mm),LH1T-14,2293,2024-02-01 17:23:44,0.515,0.50866,0.43421,0.65682
Anode Overhang (Bottom) (mm),LH1T-14,2293,2024-02-01 17:23:44,0.593,0.60680,0.46037,0.67320
Anode Overhang (All) (mm),LH1T-15,2294,2024-02-01 17:32:59,0.567,0.57400,0.43075,0.68958
Anode Overhang (Top) (mm),LH1T-15,2294,2024-02-01 17:32:59,0.543,0.54120,0.43075,0.68958
Anode Overhang (Bottom) (mm),LH1T-15,2294,2024-02-01 17:32:59,0.592,0.60680,0.44280,0.68958
Anode Overhang (All) (mm),LH1T-16,2295,2024-02-01 17:42:15,0.562,0.57400,0.45949,0.66334
Anode Overhang (Top) (mm),LH1T-16,2295,2024-02-01 17:42:15,0.570,0.57400,0.45949,0.66334
Anode Overhang (Bottom) (mm),LH1T-16,2295,2024-02-01 17:42:15,0.555,0.57400,0.45949,0.63960
Anode Overhang (All) (mm),LH1T-17,2296,2024-02-01 17:51:35,0.568,0.57423,0.39360,0.73873
Anode Overhang (Top) (mm),LH1T-17,2296,2024-02-01 17:51:35,0.541,0.55760,0.39360,0.72235
Anode Overhang (Bottom) (mm),LH1T-17,2296,2024-02-01 17:51:35,0.595,0.60680,0.42672,0.73873
Anode Overhang (All) (mm),LH1T-18,2297,2024-02-01 18:00:55,0.570,0.57423,0.44067,0.68958
Anode Overhang (Top) (mm),LH1T-18,2297,2024-02-01 18:00:55,0.557,0.57423,0.44067,0.68900
Anode Overhang (Bottom) (mm),LH1T-18,2297,2024-02-01 18:00:55,0.582,0.57423,0.44310,0.68958
Anode Overhang (All) (mm),LH1T-19,2298,2024-02-01 18:10:15,0.549,0.55760,0.41131,0.67320
Anode Overhang (Top) (mm),LH1T-19,2298,2024-02-01 18:10:15,0.498,0.49227,0.41131,0.62406
Anode Overhang (Bottom) (mm),LH1T-19,2298,2024-02-01 18:10:15,0.600,0.60702,0.47560,0.67320
Anode Overhang (All) (mm),LH1T-20,2299,2024-02-01 18:19:28,0.562,0.57423,0.31160,0.82066
Anode Overhang (Top) (mm),LH1T-20,2299,2024-02-01 18:19:28,0.511,0.55784,0.31160,0.70596
Anode Overhang (Bottom) (mm),LH1T-20,2299,2024-02-01 18:19:28,0.615,0.59063,0.44280,0.82066
Anode Overhang (All) (mm),LH1T-21,2300,2024-02-01 18:28:49,0.559,0.56622,0.32800,0.79333
Anode Overhang (Top) (mm),LH1T-21,2300,2024-02-01 18:28:49,0.533,0.56880,0.32800,0.77097
Anode Overhang (Bottom) (mm),LH1T-21,2300,2024-02-01 18:28:49,0.586,0.56622,0.37720,0.79333
Anode Overhang (All) (mm),LH1T-22,2301,2024-02-01 18:38:06,0.551,0.55760,0.43939,0.67240
Anode Overhang (Top) (mm),LH1T-22,2301,2024-02-01 18:38:06,0.511,0.50840,0.43939,0.62406
Anode Overhang (Bottom) (mm),LH1T-22,2301,2024-02-01 18:38:06,0.592,0.60680,0.45949,0.67240
Anode Overhang (All) (mm),LH1T-23,2302,2024-02-01 18:47:19,0.579,0.57494,0.43761,0.72328
Anode Overhang (Top) (mm),LH1T-23,2302,2024-02-01 18:47:19,0.529,0.50946,0.43761,0.62406
Anode Overhang (Bottom) (mm),LH1T-23,2302,2024-02-01 18:47:19,0.630,0.63981,0.50946,0.72328
