metric,sn,scan_id,scan_processed_date,mean,median,min,max
Can Inner Diameter (mm),LH1T-1,2280,2024-02-01 15:17:53,20.541,20.54104,20.51075,20.57805
Can Outer Diameter (mm),LH1T-1,2280,2024-02-01 15:17:53,21.008,21.00615,20.98399,21.04982
Can Max Denting (mm),LH1T-1,2280,2024-02-01 15:17:53,0.034,0.03355,0.02145,0.06068
Can Wall Thickness (mm),LH1T-1,2280,2024-02-01 15:17:53,0.233,0.23293,0.23224,0.23662
Can Circularity (Dmin/Dmax) (%),LH1T-1,2280,2024-02-01 15:17:53,99.618,99.60693,99.47219,99.83979
Can Inner Diameter (mm),LH1T-2,2281,2024-02-01 15:31:43,20.550,20.54723,20.52082,20.58409
Can Outer Diameter (mm),LH1T-2,2281,2024-02-01 15:31:43,21.016,21.01399,20.99415,21.05440
Can Max Denting (mm),LH1T-2,2281,2024-02-01 15:31:43,0.036,0.03491,0.02280,0.06609
Can Circularity (Dmin/Dmax) (%),LH1T-2,2281,2024-02-01 15:31:43,99.570,99.53100,99.39105,99.92534
Can Wall Thickness (mm),LH1T-2,2281,2024-02-01 15:31:43,0.233,0.23324,0.23160,0.23675
Can Inner Diameter (mm),LH1T-3,2282,2024-02-01 15:41:05,20.543,20.53923,20.51501,20.57924
Can Outer Diameter (mm),LH1T-3,2282,2024-02-01 15:41:05,21.013,21.01064,20.99033,21.05065
Can Max Denting (mm),LH1T-3,2282,2024-02-01 15:41:05,0.044,0.04302,0.03078,0.06523
Can Circularity (Dmin/Dmax) (%),LH1T-3,2282,2024-02-01 15:41:05,99.429,99.39339,99.25718,99.82015
Can Wall Thickness (mm),LH1T-3,2282,2024-02-01 15:41:05,0.235,0.23539,0.23274,0.23775
Can Inner Diameter (mm),LH1T-4,2283,2024-02-01 15:50:22,20.546,20.54283,20.51972,20.57976
Can Outer Diameter (mm),LH1T-4,2283,2024-02-01 15:50:22,21.016,21.01371,20.99284,21.05261
Can Max Denting (mm),LH1T-4,2283,2024-02-01 15:50:22,0.045,0.04499,0.02706,0.05875
Can Circularity (Dmin/Dmax) (%),LH1T-4,2283,2024-02-01 15:50:22,99.341,99.29134,99.09091,99.83390
Can Wall Thickness (mm),LH1T-4,2283,2024-02-01 15:50:22,0.235,0.23516,0.23242,0.23712
Can Inner Diameter (mm),LH1T-5,2284,2024-02-01 15:59:44,20.549,20.54812,20.52037,20.58569
Can Outer Diameter (mm),LH1T-5,2284,2024-02-01 15:59:44,21.018,21.01606,20.99559,21.05655
Can Max Denting (mm),LH1T-5,2284,2024-02-01 15:59:44,0.033,0.03128,0.02287,0.05510
Can Circularity (Dmin/Dmax) (%),LH1T-5,2284,2024-02-01 15:59:44,99.773,99.76235,99.65201,99.93935
Can Wall Thickness (mm),LH1T-5,2284,2024-02-01 15:59:44,0.235,0.23447,0.23238,0.23762
Can Inner Diameter (mm),LH1T-6,2285,2024-02-01 16:09:07,20.548,20.54483,20.52083,20.57560
Can Outer Diameter (mm),LH1T-6,2285,2024-02-01 16:09:07,21.018,21.01667,20.99419,21.05008
Can Max Denting (mm),LH1T-6,2285,2024-02-01 16:09:07,0.050,0.05026,0.03194,0.06587
Can Circularity (Dmin/Dmax) (%),LH1T-6,2285,2024-02-01 16:09:07,99.235,99.17441,98.92207,99.75641
Can Wall Thickness (mm),LH1T-6,2285,2024-02-01 16:09:07,0.235,0.23498,0.23261,0.23980
Can Outer Diameter (mm),LH1T-7,2286,2024-02-01 16:18:29,21.017,21.01508,20.99416,21.06716
Can Max Denting (mm),LH1T-7,2286,2024-02-01 16:18:29,0.036,0.03498,0.02783,0.05987
Can Circularity (Dmin/Dmax) (%),LH1T-7,2286,2024-02-01 16:18:29,99.688,99.68087,99.55010,99.84997
Can Wall Thickness (mm),LH1T-7,2286,2024-02-01 16:18:29,0.234,0.23425,0.23183,0.23757
Can Inner Diameter (mm),LH1T-7,2286,2024-02-01 16:18:29,20.548,20.54776,20.51911,20.59512
Can Inner Diameter (mm),LH1T-8,2287,2024-02-01 16:27:48,20.545,20.54165,20.51805,20.58224
Can Outer Diameter (mm),LH1T-8,2287,2024-02-01 16:27:48,21.013,21.01096,20.99001,21.05309
Can Circularity (Dmin/Dmax) (%),LH1T-8,2287,2024-02-01 16:27:48,99.736,99.73919,99.60622,99.90004
Can Wall Thickness (mm),LH1T-8,2287,2024-02-01 16:27:48,0.234,0.23447,0.23165,0.23598
Can Max Denting (mm),LH1T-8,2287,2024-02-01 16:27:48,0.035,0.03452,0.02583,0.05305
Can Inner Diameter (mm),LH1T-9,2288,2024-02-01 16:37:06,20.546,20.54411,20.52114,20.58904
Can Outer Diameter (mm),LH1T-9,2288,2024-02-01 16:37:06,21.017,21.01488,20.99400,21.05880
Can Max Denting (mm),LH1T-9,2288,2024-02-01 16:37:06,0.034,0.03489,0.02510,0.04668
Can Circularity (Dmin/Dmax) (%),LH1T-9,2288,2024-02-01 16:37:06,99.750,99.75583,99.59097,99.97462
Can Wall Thickness (mm),LH1T-9,2288,2024-02-01 16:37:06,0.235,0.23570,0.23252,0.23812
Can Inner Diameter (mm),LH1T-10,2289,2024-02-01 16:46:26,20.546,20.54307,20.51721,20.58490
Can Outer Diameter (mm),LH1T-10,2289,2024-02-01 16:46:26,21.013,21.01038,20.99123,21.05722
Can Max Denting (mm),LH1T-10,2289,2024-02-01 16:46:26,0.036,0.03663,0.02540,0.05114
Can Circularity (Dmin/Dmax) (%),LH1T-10,2289,2024-02-01 16:46:26,99.532,99.49909,99.33500,99.86806
Can Wall Thickness (mm),LH1T-10,2289,2024-02-01 16:46:26,0.233,0.23343,0.23124,0.23703
