metric,sn,scan_id,scan_processed_date,mean,median,min,max
Core Area (mm²),LH1T-1,2280,2024-02-01 15:17:53,12.222,12.22087,12.18591,12.27439
Core Circularity (MCC) (%),LH1T-1,2280,2024-02-01 15:17:53,81.275,81.28038,79.11885,83.03523
Core Circularity (Dmin/Dmax) (%),LH1T-1,2280,2024-02-01 15:17:53,88.288,88.24591,86.86366,90.63688
Core Effective Diameter (mm),LH1T-1,2280,2024-02-01 15:17:53,3.945,3.94506,3.93954,3.95393
Core Concentricity (mm),LH1T-1,2280,2024-02-01 15:17:53,0.096,0.09904,0.07965,0.10936
Core Area (mm²),LH1T-2,2281,2024-02-01 15:31:43,12.379,12.38117,12.33908,12.41587
Core Circularity (MCC) (%),LH1T-2,2281,2024-02-01 15:31:43,82.017,82.38520,78.39298,84.06937
Core Circularity (Dmin/Dmax) (%),LH1T-2,2281,2024-02-01 15:31:43,89.261,89.17084,88.46402,90.70192
Core Effective Diameter (mm),LH1T-2,2281,2024-02-01 15:31:43,3.970,3.97017,3.96348,3.97570
Core Concentricity (mm),LH1T-2,2281,2024-02-01 15:31:43,0.144,0.14530,0.12855,0.15645
Core Area (mm²),LH1T-3,2282,2024-02-01 15:41:05,12.327,12.32711,12.26471,12.37297
Core Circularity (MCC) (%),LH1T-3,2282,2024-02-01 15:41:05,82.792,83.15474,79.26304,84.45659
Core Circularity (Dmin/Dmax) (%),LH1T-3,2282,2024-02-01 15:41:05,91.610,91.48705,90.14271,93.70440
Core Concentricity (mm),LH1T-3,2282,2024-02-01 15:41:05,0.109,0.10870,0.09368,0.12755
Core Effective Diameter (mm),LH1T-3,2282,2024-02-01 15:41:05,3.962,3.96150,3.95170,3.96910
Core Area (mm²),LH1T-4,2283,2024-02-01 15:50:22,12.247,12.24723,12.11719,12.41250
Core Circularity (MCC) (%),LH1T-4,2283,2024-02-01 15:50:22,82.676,83.32770,79.74990,84.40667
Core Circularity (Dmin/Dmax) (%),LH1T-4,2283,2024-02-01 15:50:22,90.037,89.87209,88.35104,92.77047
Core Effective Diameter (mm),LH1T-4,2283,2024-02-01 15:50:22,3.949,3.94880,3.92741,3.97571
Core Concentricity (mm),LH1T-4,2283,2024-02-01 15:50:22,0.085,0.08924,0.05687,0.11892
