metric,sn,scan_id,scan_processed_date,mean,median,min,max
Cathode Width (mm),LH1T-1,2280,2024-02-01 15:17:53,64.008,64.02560,63.82885,64.12405
Cathode Width (mm),LH1T-2,2281,2024-02-01 15:31:43,64.034,64.05840,63.86162,64.14053
Cathode Width (mm),LH1T-3,2282,2024-02-01 15:41:05,64.038,64.05842,63.86162,64.15685
Cathode Width (mm),LH1T-4,2283,2024-02-01 15:50:22,64.025,64.04201,63.87800,64.15705
Cathode Width (mm),LH1T-5,2284,2024-02-01 15:59:44,64.036,64.05842,63.87802,64.15693
Cathode Width (mm),LH1T-6,2285,2024-02-01 16:09:07,64.025,64.04202,63.86160,64.14053
Cathode Width (mm),LH1T-7,2286,2024-02-01 16:18:29,64.041,64.05842,63.86160,64.15688
Cathode Width (mm),LH1T-8,2287,2024-02-01 16:27:48,64.037,64.04210,63.86161,64.17330
Cathode Width (mm),LH1T-9,2288,2024-02-01 16:37:06,64.039,64.05840,63.86160,64.17330
Cathode Width (mm),LH1T-10,2289,2024-02-01 16:46:26,64.069,64.09126,63.89445,64.20603
Cathode Width (mm),LH1T-11,2290,2024-02-01 16:55:50,64.033,64.05840,63.87802,64.15682
Cathode Width (mm),LH1T-12,2291,2024-02-01 17:05:11,64.076,64.10761,63.87800,64.20601
Cathode Width (mm),LH1T-13,2292,2024-02-01 17:14:25,64.038,64.04217,63.91080,64.15693
Cathode Width (mm),LH1T-14,2293,2024-02-01 17:23:44,64.036,64.05843,63.86160,64.15690
Cathode Width (mm),LH1T-15,2294,2024-02-01 17:32:59,64.041,64.05843,63.86160,64.15690
Cathode Width (mm),LH1T-16,2295,2024-02-01 17:42:15,64.040,64.05853,63.86160,64.15697
Cathode Width (mm),LH1T-17,2296,2024-02-01 17:51:35,64.037,64.05841,63.86162,64.15721
Cathode Width (mm),LH1T-18,2297,2024-02-01 18:00:55,64.037,64.05840,63.82890,64.17341
Cathode Width (mm),LH1T-19,2298,2024-02-01 18:10:15,64.039,64.05845,63.89440,64.17333
Cathode Width (mm),LH1T-20,2299,2024-02-01 18:19:28,64.036,64.05841,63.87801,64.15715
Cathode Width (mm),LH1T-21,2300,2024-02-01 18:28:49,64.025,64.04202,63.86160,64.17321
Cathode Width (mm),LH1T-22,2301,2024-02-01 18:38:06,64.021,64.02561,63.86168,64.15680
Cathode Width (mm),LH1T-23,2302,2024-02-01 18:47:19,64.030,64.04208,63.87808,64.15680
Cathode Width (mm),LH1T-24,2303,2024-02-01 18:56:33,64.044,64.05868,63.89440,64.17328
Cathode Width (mm),LH1T-25,2304,2024-02-01 19:05:53,64.037,64.05841,63.86163,64.15697
Cathode Width (mm),LH1T-26,2305,2024-02-01 19:15:09,64.028,64.05842,63.84520,64.14057
Cathode Width (mm),LH1T-27,2306,2024-02-01 19:24:23,64.048,64.05861,63.91080,64.18962
Cathode Width (mm),LH1T-28,2307,2024-02-01 19:33:37,64.038,64.05842,63.87810,64.17333
Cathode Width (mm),LH1T-29,2308,2024-02-01 19:42:47,64.035,64.04215,63.87802,64.17325
Cathode Width (mm),LH1T-30,2309,2024-02-01 19:52:02,64.040,64.05840,63.87810,64.15680
Cathode Width (mm),LH1T-31,2310,2024-02-01 20:01:19,64.027,64.04203,63.87800,64.15683
Cathode Width (mm),LH1T-32,2311,2024-02-01 20:10:35,64.033,64.04201,63.89441,64.14048
Cathode Width (mm),LH1T-33,2312,2024-02-01 20:19:47,64.028,64.04205,63.86160,64.14045
Cathode Width (mm),LH1T-34,2313,2024-02-01 20:29:02,64.026,64.04205,63.87800,64.12405
Cathode Width (mm),LH1T-35,2314,2024-02-01 20:38:13,64.029,64.04203,63.86160,64.15682
Cathode Width (mm),LH1T-36,2315,2024-02-01 20:47:32,64.022,64.02563,63.86161,64.14043
Cathode Width (mm),LH1T-37,2316,2024-02-01 20:56:47,64.045,64.05842,63.91080,64.17322
Cathode Width (mm),LH1T-38,2317,2024-02-01 21:06:08,64.032,64.04208,63.86160,64.15680
Cathode Width (mm),LH1T-39,2318,2024-02-01 21:15:29,64.021,64.04200,63.84521,64.12410
Cathode Width (mm),LH1T-40,2319,2024-02-01 21:24:41,64.023,64.04200,63.87800,64.14053
Cathode Width (mm),LH1T-41,2320,2024-02-01 21:33:57,64.022,64.04200,63.86160,64.14043
Cathode Width (mm),LH1T-42,2321,2024-02-01 21:43:13,64.027,64.04201,63.87803,64.15693
Cathode Width (mm),LH1T-43,2322,2024-02-01 21:52:31,64.043,64.05841,63.91080,64.15685
Cathode Width (mm),LH1T-44,2323,2024-02-01 22:01:49,64.046,64.05848,63.87800,64.17321
Cathode Width (mm),LH1T-45,2324,2024-02-01 22:11:03,64.031,64.04202,63.87801,64.15680
Cathode Width (mm),LH1T-46,2325,2024-02-01 22:20:18,64.027,64.04213,63.84533,64.14065
Cathode Width (mm),LH1T-47,2326,2024-02-01 22:29:38,64.026,64.04201,63.86162,64.14041
Cathode Width (mm),LH1T-48,2327,2024-02-01 22:38:56,64.028,64.04202,63.89440,64.15682
Cathode Width (mm),LH1T-49,2328,2024-02-01 22:48:09,64.026,64.04200,63.87800,64.14048
Cathode Width (mm),LH1T-50,2329,2024-02-01 22:57:20,64.025,64.04200,63.86160,64.14040
Cathode Width (mm),LH1T-51,2330,2024-02-01 23:06:32,64.026,64.04200,63.86160,64.14050
Cathode Width (mm),LH1T-52,2331,2024-02-01 23:15:45,64.027,64.04205,63.86163,64.15688
Cathode Width (mm),LH1T-53,2332,2024-02-01 23:24:58,64.025,64.04200,63.86165,64.14057
Cathode Width (mm),LH1T-54,2333,2024-02-01 23:34:13,64.022,64.04200,63.86160,64.14043
Cathode Width (mm),LH1T-55,2334,2024-02-01 23:43:27,64.027,64.04201,63.86160,64.14043
Cathode Width (mm),LH1T-56,2335,2024-02-01 23:52:42,64.047,64.05840,63.87800,64.15683
Cathode Width (mm),LH1T-57,2336,2024-02-02 00:01:59,64.023,64.02572,63.86163,64.14050
Cathode Width (mm),LH1T-58,2337,2024-02-02 00:11:18,64.027,64.04221,63.87801,64.15682
Cathode Width (mm),LH1T-59,2338,2024-02-02 00:20:38,64.021,64.04201,63.87800,64.14045
Cathode Width (mm),LH1T-60,2339,2024-02-02 00:29:55,64.035,64.05842,63.87800,64.14050
Cathode Width (mm),LH1T-61,2340,2024-02-02 00:39:09,64.051,64.07481,63.87801,64.15685
Cathode Width (mm),LH1T-62,2341,2024-02-02 00:48:25,64.034,64.05840,63.89440,64.15688
Cathode Width (mm),LH1T-63,2342,2024-02-02 00:57:33,64.031,64.04217,63.84541,64.15690
Cathode Width (mm),LH1T-64,2343,2024-02-02 01:06:52,64.023,64.04200,63.84522,64.14041
Cathode Width (mm),LH1T-65,2344,2024-02-02 01:16:04,64.025,64.04200,63.84520,64.14043
Cathode Width (mm),LH1T-66,2345,2024-02-02 01:25:25,64.031,64.04203,63.86160,64.14041
Cathode Width (mm),LH1T-67,2346,2024-02-02 01:34:37,64.025,64.02570,63.86160,64.12402
Cathode Width (mm),LH1T-68,2347,2024-02-02 01:43:56,64.017,64.02565,63.87800,64.12402
Cathode Width (mm),LH1T-69,2348,2024-02-02 01:53:14,64.026,64.04203,63.89440,64.14040
